dataset,split,strategy,n_context,roc_auc,average_precision,brier_score,ece,runtime_seconds
lending_club,lc_recent,high_confidence,256,0.37885890939074446,0.1567001166606141,0.4572340140908769,0.5310915060598159,10.321701599285007
lending_club,lc_recent,high_confidence,512,0.3640768938940765,0.15198155053709778,0.5493530118320781,0.6005840730522097,8.490835078060627
lending_club,lc_recent,high_confidence,1024,0.35338688520255834,0.1498835088065887,0.5851250808146271,0.6242140574054719,8.699894288554788
lending_club,lc_recent,diverse,128,0.641920524924708,0.29378594117356494,0.15444709736006954,0.04455639798119479,8.922609651461244
lending_club,lc_recent,diverse,256,0.6391226576751048,0.2832002802226151,0.16750628535860074,0.08223964236248692,10.594727220013738
lending_club,lc_recent,diverse,512,0.6706934409093972,0.31272061558709946,0.15510734166059434,0.05582552730045184,11.13907128944993
lending_club,lc_recent,diverse,1024,0.6656323060801529,0.3153785759525284,0.15117949318007104,0.033278246084364534,10.512737046927214
freddie_mac,fm_early,xgboost_full_pool,50000,0.7263589367814687,0.02817411837514405,0.012756363610021824,0.016197922856137158,14.225659552961588
freddie_mac,fm_early,random,128,0.6703676787032976,0.023702170540075406,0.01214538695355438,0.014430484963580965,7.355614865198731
freddie_mac,fm_early,random,256,0.6027369907009675,0.019812741022892245,0.011893990041967008,0.008428243510723113,10.873297743499279
freddie_mac,fm_early,random,512,0.6039031395170025,0.016070359375358802,0.011932350765180037,0.013089848177433014,9.557448359206319
freddie_mac,fm_early,random,1024,0.7011770743504181,0.025191134662494542,0.011901091309167713,0.013796505944728851,12.043690245598555
freddie_mac,fm_early,most_recent,128,0.5528426358977536,0.014470072774506836,0.01222153375826148,0.011865844928137958,11.165267456322908
freddie_mac,fm_early,most_recent,256,0.6275372745135437,0.02122208964409608,0.011812800967460188,0.004968367969989777,7.2352383229881525
freddie_mac,fm_early,most_recent,512,0.7511178889952121,0.03430839461156673,0.011685794676602884,0.003199914030134678,11.73993424512446
freddie_mac,fm_early,most_recent,1024,0.7589309366304062,0.03863942461744467,0.011649804960420238,0.0037483593899011606,11.127547381445765
freddie_mac,fm_early,class_balanced,128,0.6964669701771288,0.025916692680207295,0.2063287997130164,0.4346957981836796,8.335808672010899
freddie_mac,fm_early,class_balanced,256,0.7396641456089472,0.03475768184857869,0.1588677574650645,0.3342825839301944,11.386004792526364
freddie_mac,fm_early,class_balanced,512,0.7560321549650356,0.03534546651360821,0.15573753099584742,0.3225733943551779,8.379772888496518
freddie_mac,fm_early,class_balanced,1024,0.7570055531736963,0.03896850910082962,0.16526879799541594,0.3388817252574861,11.532347619533539
freddie_mac,fm_early,economically_similar,128,0.6703676787032976,0.023702170540075406,0.01214538695355438,0.014430484963580965,10.35157249495387
freddie_mac,fm_early,economically_similar,256,0.6027369907009675,0.019812741022892245,0.011893990041967008,0.008428243510723113,6.218037700280547
freddie_mac,fm_early,economically_similar,512,0.6039031395170025,0.016070359375358802,0.011932350765180037,0.013089848177433014,11.709335457533598
freddie_mac,fm_early,economically_similar,1024,0.7011770743504181,0.025191134662494542,0.011901091309167713,0.013796505944728851,12.665853209793568
freddie_mac,fm_early,high_confidence,128,0.5255070983030475,0.015477359043062817,0.9412426675074609,0.9640726795959472,8.429699342697859
freddie_mac,fm_early,high_confidence,256,0.31785984573702425,0.00788911537347534,0.9182029758271831,0.9507483123755455,6.956593841314316
freddie_mac,fm_early,high_confidence,512,0.26950221472162944,0.007353572417322571,0.9148046110981514,0.9474030434370041,11.028932984918356
freddie_mac,fm_early,high_confidence,1024,0.24080237776578697,0.007089195119654947,0.8640801750946367,0.9167109028685093,10.354985939338803
freddie_mac,fm_early,diverse,128,0.41881407586484587,0.009794988390619737,0.012239607637407817,0.019984127448797226,10.420775007456541
freddie_mac,fm_early,diverse,256,0.49173227081577503,0.016419597368182597,0.011812139013126987,0.005618754269480705,6.468681763857603
freddie_mac,fm_early,diverse,512,0.6747535488798289,0.02647196105903932,0.01201989996084163,0.01745145564138889,7.051180122420192
freddie_mac,fm_early,diverse,1024,0.7230850632152709,0.027947099636095502,0.011838096480882875,0.009876140819787979,10.175004405900836
freddie_mac,fm_late,xgboost_full_pool,100000,0.7680850891731008,0.027398010777791144,0.008593021612276852,0.002392123366966844,12.698011765256524
freddie_mac,fm_late,random,128,0.6231516986800265,0.012666164137683782,0.0107689768588302,0.041310841385647654,7.1562835946679115
freddie_mac,fm_late,random,256,0.7657001017681402,0.025497114685580084,0.008715272707359998,0.004089200213234871,9.56622051820159
freddie_mac,fm_late,random,512,0.6161573936422525,0.012701561508440932,0.008713770855554196,0.010008147887587547,9.151230389252305
freddie_mac,fm_late,random,1024,0.6756036870078364,0.016632934425168923,0.008579149516653273,0.0006680870127677914,11.124560616910458
freddie_mac,fm_late,most_recent,128,0.6504532150122975,0.016440333540187795,0.025505972609551827,0.030584894357472657,10.693613732233644
freddie_mac,fm_late,most_recent,256,0.7502297360443488,0.02708988063632236,0.013931075776432576,0.014211650856435299,7.00095209851861
freddie_mac,fm_late,most_recent,512,0.7610460176823305,0.027053433572021432,0.011097928298259696,0.011501806989945471,11.801200069487095
freddie_mac,fm_late,most_recent,1024,0.7474366905662811,0.024876259543542487,0.00899925406255392,0.0038263887468725447,11.84608873911202
freddie_mac,fm_late,class_balanced,128,0.7883412118571691,0.02735753049839429,0.17396058088101923,0.34757512850537897,7.251209599897265
freddie_mac,fm_late,class_balanced,256,0.7735483629238192,0.025384096579572878,0.10541636677047331,0.26280499190807344,11.064015410840511
freddie_mac,fm_late,class_balanced,512,0.7625189641479749,0.021414642756612617,0.13676191762087533,0.2725764573447406,9.335536487400532
