dataset,split,strategy,n_requested,n_seeds,roc_auc_mean,roc_auc_ci95,average_precision_mean,average_precision_ci95,brier_score_mean,brier_score_ci95,ece_mean,ece_ci95
lending_club,lc_post_crisis,most_recent,256,5,0.6656441353303746,0.04548573675960788,0.3028038883340806,0.03349102214784843,0.14889628380684214,0.005794177190963456,0.05478593682703335,0.023186706734110545
lending_club,lc_post_crisis,most_recent,512,5,0.6814967402438699,0.008601722884879516,0.3136298017796759,0.010299358653704576,0.14849888281064935,0.003478081507725181,0.06417018586089722,0.022381511913859693
lending_club,lc_post_crisis,most_recent,1024,5,0.6878442844122876,0.005614794539667382,0.32106231637560745,0.009644126078573746,0.1463730906464318,0.00295531395043275,0.05719228131983718,0.01674704110954046
lending_club,lc_post_crisis,random,128,5,0.6305772804556915,0.06793223449577371,0.2731346249494574,0.04916749239797666,0.15277467990511306,0.00794537065023802,0.05551558268557062,0.03419863583451442
lending_club,lc_post_crisis,random,256,5,0.6703103120922098,0.020716799990743544,0.30590887711355863,0.0267424670225873,0.14926202526455898,0.006933281008953319,0.053634566945920045,0.02730989226365037
lending_club,lc_post_crisis,random,512,5,0.6815808701624951,0.011310437842298151,0.3186411987197675,0.007729150703013708,0.14667309180979377,0.0029993512821687696,0.05087156096693844,0.014515811873436927
lending_club,lc_post_crisis,random,1024,5,0.6863143926277251,0.0065147644267679865,0.3211092176499532,0.010603126171701205,0.14754373252367856,0.001698012396344241,0.06225107691447544,0.006709015110272969
lending_club,lc_post_crisis,xgboost_full_pool,13526,5,0.6688631397996934,0.0015151467055159972,0.30743104382602937,0.0023425111878250266,0.1468030990742069,0.0005540787186776129,0.047664407440222614,0.0029038902417751044
lending_club,lc_post_crisis,xgboost_tuned,13526,5,0.6847071579543763,0.0018978704524568312,0.32277609109289185,0.003420194924834709,0.1439680268660383,0.00043563667793249436,0.03527350399898398,0.0029013677041371116
lending_club,lc_pre_crisis,class_balanced,128,5,0.5226091017448423,0.032473502700632206,0.12795832388316636,0.0153893699285172,0.15871879022720395,0.017266560968542073,0.21332422517570224,0.06035430368322521
lending_club,lc_pre_crisis,class_balanced,256,5,0.5346451546391882,0.012196196852004005,0.13672602868249917,0.01262935570710684,0.1079630559865296,0.0073836062675750455,0.0537408665913607,0.03254614368528238
lending_club,lc_pre_crisis,class_balanced,512,5,0.5357532660182288,0.023997614941067627,0.13919208610869122,0.009579237213915837,0.1038903180906934,0.006628369814056372,0.03428950392614204,0.01665029166536587
lending_club,lc_pre_crisis,class_balanced,1024,5,0.5357532660182288,0.023997614941067627,0.13919208610869122,0.009579237213915837,0.1038903180906934,0.006628369814056372,0.03428950392614204,0.01665029166536587
lending_club,lc_pre_crisis,diverse,128,5,0.5221383693665915,0.05979210622578498,0.1302517100698603,0.025281597933567497,0.10297389578085389,0.004618807679064436,0.024884290263372518,0.011430309924411252
lending_club,lc_pre_crisis,diverse,256,5,0.5309817468095206,0.02372161934597098,0.1366379924061484,0.016077084051789783,0.1039882465174848,0.005704418466327385,0.03510874872607296,0.01822567845880793
lending_club,lc_pre_crisis,diverse,512,5,0.535468889269352,0.024206360977456796,0.13829392375520919,0.010069695759165158,0.10393832620257895,0.006648643974473852,0.03420343071681684,0.015647804909249854
lending_club,lc_pre_crisis,diverse,1024,5,0.535468889269352,0.024206360977456796,0.13829392375520919,0.010069695759165158,0.10393832620257895,0.006648643974473852,0.03420343071681684,0.015647804909249854
lending_club,lc_pre_crisis,economically_similar,128,5,0.5217479970191328,0.06745844059471592,0.13235745182830322,0.02613738748138239,0.10790311189092146,0.008363176085950223,0.05662979414094388,0.03726433898522417
lending_club,lc_pre_crisis,economically_similar,256,5,0.5257462104665095,0.0366514664362628,0.13110798687919895,0.013443077223150074,0.1037174301575509,0.006530073844636348,0.030437746316137076,0.012241184293771835
lending_club,lc_pre_crisis,economically_similar,512,5,0.5187216762054213,0.01514398825756316,0.13198848579646022,0.009018178596933484,0.10349945598028003,0.006434160095586485,0.030599080138697943,0.007253795485805688
lending_club,lc_pre_crisis,economically_similar,1024,5,0.5187216762054213,0.01514398825756316,0.13198848579646022,0.009018178596933484,0.10349945598028003,0.006434160095586485,0.030599080138697943,0.007253795485805688
lending_club,lc_pre_crisis,high_confidence,128,5,0.5459583048876226,0.06677318284320337,0.13793374774320208,0.033024076086825865,0.14734615054904565,0.020735256482744616,0.21011864507129424,0.046868870729593434
lending_club,lc_pre_crisis,high_confidence,256,5,0.532119711638828,0.04099140550858354,0.13930448108068377,0.017139538303085084,0.10339224335180941,0.005718165898604506,0.03381974953447458,0.022866543338852005
lending_club,lc_pre_crisis,high_confidence,512,5,0.5358255210001939,0.023538576198394084,0.13899176578040567,0.009351528718522763,0.10392509273271941,0.006646621756161011,0.03365216182261298,0.015467823080516103
lending_club,lc_pre_crisis,high_confidence,1024,5,0.5358255210001939,0.023538576198394084,0.13899176578040567,0.009351528718522763,0.10392509273271941,0.006646621756161011,0.03365216182261298,0.015467823080516103
lending_club,lc_pre_crisis,most_recent,128,5,0.5074420002090931,0.04911998753610038,0.12456552676005961,0.015026123698585473,0.10666152487160012,0.009695960256525991,0.03824279084715536,0.02764673166468885
lending_club,lc_pre_crisis,most_recent,256,5,0.5140582294481876,0.04178956938514143,0.13061708080927825,0.009175512043997955,0.1040836417626843,0.006324370072416349,0.03253073499898684,0.018629367386673857
